NAME	original_cell_subset	CellType	Patient_ID	filename	dataset	nUMIs	Sample_ID	Gender	Age	barcodes	Count
TYPE	group	group	group	group	group	numeric	group	group	group	group	numeric
AZ_A12	Beta	Endocrine (Beta)	0	pancreas	Pancreas_Healthy_Sandberg_2016	2707	AZ	NA	NA	AZ_A12	1
AZ_A2	Acinar	Acinar	0	pancreas	Pancreas_Healthy_Sandberg_2016	6237	AZ	NA	NA	AZ_A2	1
AZ_A3	Gamma	Endocrine (Gamma)	0	pancreas	Pancreas_Healthy_Sandberg_2016	34338	AZ	NA	NA	AZ_A3	1
AZ_A4	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	398066	AZ	NA	NA	AZ_A4	1
AZ_A5	Beta	Endocrine (Beta)	0	pancreas	Pancreas_Healthy_Sandberg_2016	227594	AZ	NA	NA	AZ_A5	1
AZ_A6	Acinar	Acinar	0	pancreas	Pancreas_Healthy_Sandberg_2016	585924	AZ	NA	NA	AZ_A6	1
AZ_A7	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	992574	AZ	NA	NA	AZ_A7	1
AZ_A8	Beta	Endocrine (Beta)	0	pancreas	Pancreas_Healthy_Sandberg_2016	198896	AZ	NA	NA	AZ_A8	1
AZ_A9	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	495834	AZ	NA	NA	AZ_A9	1
AZ_B1	Gamma	Endocrine (Gamma)	0	pancreas	Pancreas_Healthy_Sandberg_2016	901833	AZ	NA	NA	AZ_B1	1
AZ_B10	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	1207160	AZ	NA	NA	AZ_B10	1
AZ_B11	Gamma	Endocrine (Gamma)	0	pancreas	Pancreas_Healthy_Sandberg_2016	1154926	AZ	NA	NA	AZ_B11	1
AZ_B12	Acinar	Acinar	0	pancreas	Pancreas_Healthy_Sandberg_2016	1164527	AZ	NA	NA	AZ_B12	1
AZ_B2	Acinar	Acinar	0	pancreas	Pancreas_Healthy_Sandberg_2016	111157	AZ	NA	NA	AZ_B2	1
AZ_B3	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	333349	AZ	NA	NA	AZ_B3	1
AZ_B4	Beta	Endocrine (Beta)	0	pancreas	Pancreas_Healthy_Sandberg_2016	44360	AZ	NA	NA	AZ_B4	1
AZ_B5	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	287052	AZ	NA	NA	AZ_B5	1
AZ_B9	Gamma	Endocrine (Gamma)	0	pancreas	Pancreas_Healthy_Sandberg_2016	479778	AZ	NA	NA	AZ_B9	1
AZ_C1	Gamma	Endocrine (Gamma)	0	pancreas	Pancreas_Healthy_Sandberg_2016	492524	AZ	NA	NA	AZ_C1	1
AZ_C10	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	602634	AZ	NA	NA	AZ_C10	1
AZ_C11	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	743033	AZ	NA	NA	AZ_C11	1
AZ_C12	Pancreatic Stellate	Stromal (Fibroblast)	0	pancreas	Pancreas_Healthy_Sandberg_2016	896960	AZ	NA	NA	AZ_C12	1
AZ_C2	Ductal	Epithelial (Ductal)	0	pancreas	Pancreas_Healthy_Sandberg_2016	1083233	AZ	NA	NA	AZ_C2	1
AZ_C4	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	1361678	AZ	NA	NA	AZ_C4	1
AZ_C7	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	1366756	AZ	NA	NA	AZ_C7	1
AZ_C8	Gamma	Endocrine (Gamma)	0	pancreas	Pancreas_Healthy_Sandberg_2016	381192	AZ	NA	NA	AZ_C8	1
AZ_D1	Acinar	Acinar	0	pancreas	Pancreas_Healthy_Sandberg_2016	1422408	AZ	NA	NA	AZ_D1	1
AZ_D10	Alpha	Endocrine (Alpha)	0	pancreas	Pancreas_Healthy_Sandberg_2016	1211809	AZ	NA	NA	AZ_D10	1
